order_id,products
1847222,10957 32650 30913 12302 42972 28199 47889 6991 43693 23909 17122 1831 6846 34185 21131 16696 43616
2076662,19660 32303 22362 41400 30591 41787 26348 46061 36472 13575 16797 19828 6184 43352 9076 21288 37710
1583170,18465
2189024,None
532454,4473 16797 9076 46372 21137 31915
1517977,12276 19019 5782 29192 40310 35210 34047 32141 7358 17334 1752 32691 29553 23102 22105
3137214,48620 30850 47626 27521 20178 29195 10017 36929 21903 13176 23081 21616 4920 41618
3280107,None
352797,6341 13176 45066 21137 13292 21903 5785
545810,47209 17224 30382 21616 24489 21903 13176 30996
2301919,35986 27325 21903 2966 13176 39877 47209 30391
90958,34243 22959 37065 16797 12395 21903 45066 47912 26209 20114 43662 47626 47766 48745 28842
96712,18224 37067 36082
3083802,6592 23020 16683 21616 277 8390 34586 25495 24713 12513 17926 47031 42049 22476
592918,25931 23909 24157 24841 24838 8087 41793 37158 29268 47626 13176 5818 42828 2450 11182
1217574,19734 45158 40826 38511 46184 13176 10500 43961 33454 31102 18215 7504 14086 13558 23288 1503 15512
530115,27360 5385
1300941,27086 8424 39409 20842
895683,21288 39275
1490499,24964 24852 25890 47626 11140
558337,47766 16797 47626 21799 24010 13245 4658 9076 17122 39097 4724 40699 4210
2679091,10125 8424 33572 44765 38192 10761 28204 47626 21903 34969 31215 24852
122269,None
1897864,34 45681 43409 19660 35003 40709 1940 49235 47138 33548 12863 46817 22620 27244 28931 27966 14910
2573815,21281 44254 14464 27629 24746 27845 31022
1745049,39046 23909 22476 23623 47626 46979 21115 9829 25670 40310 46941 39891
2358606,43352 16797 32455
1494475,7963 44359 19057 8021
3072268,7806 18908 27307 47766 13176 42719 27655 15566
3347365,8518 35951 46667 13176 21903 23178 12409 48679
629722,20082 45303 47868
409074,47521 41488 4957 26329 1194 22035 38293 13176 5134 38689 48953 21137 27966 44275 27695 45840 1408 40706 17949 25167 13776 26790 5077 10753 20574 45633 27690 14233 37766 28912 42828 44560 16254 14947 11130
1789166,27845 26369 39180 117
3007538,9507 13198 24535 16797 48094 49111 21267 27156 47626 5383 24852 17872 32760 34530 35535 28204 48287 47766 14633
2750192,21616 21903 49683 41148 15290 6383
1373392,None
1632617,21883
138325,13176 48679 19125 17795 31093 11006 1234 34335 33575 35078 42701 13740 261 12341 34448 24706
2454435,4942 39275 21137 6873 13176
1036056,19711 13176
2967003,35652 12341 21573 5258 31805 30827 196 8953 31846
1953616,24852 16797 42450 26790 24891
859378,13819 26209 36646 43961 432 39877 19311 5450 41259 37011 28842
956608,39121 6873 28849 47209 27548 34969 21903 17027 19678 4451 24852 28373 8277 40593 27695 22888
2111699,23518
360235,46654 33793 4210 10275 2050 47660 5077 45994 7969 11821 12099 24852 19125 43886 14183 48746 40278 43409 9477 19946 40866
2372487,9637 24852 10586 24024 38453 39928
242140,31553 13176 25691 19677 14999 28985 34969 15923 14947
1931949,26209 31717 2962 24852
3184198,45066 25197 43352 24852 30233 33548 35221 294 16797
1184908,47209
2690184,39928 27845 28156 43961 24852 5450
1979930,24852
2922070,24852
2523478,31329 10493 15202 13966 23909 27056 46572 45389 17914 44027 38371 196
286983,6046 39411 26209 21709 21137 44632 35221 21903 27086 21614 39180 24964 47209 22935 21616 17794 8087 11941 32655 33731 27344
3065643,35417 3957
502886,21137 8479 35913 22307 22993 3376 20114 283 35140 28934 34448 39561 27156 28171 2846 32433 34358 24852 25340 44142 10025 48190 21903
149373,27845 21137 24852 24838
10338,47209 5785 28745
2503939,34358 21903 39993 24852 44479 27730 46565
3141441,13176
833942,44257 30776 3957 47626 650 21841
768545,24964 29662 47042 27966 37029 8575 12341 40706 40996 37464 1700 29594 39871 7185 43122 27815 26679 21903 44625 3631 24759 38275 39108 14881 40310 38274 39619 38464 35503 35628 13176 24447 45504 34197 33198 32204 3957 12039 13870 33731
2686751,None
2461409,21903 31963 24852 30489 22935 3896 24184
1823164,33827 14421 24852 14962 20114 3529 13203 41671
932461,26604 33754 5479 24852 18523 22124 21137 29487 4796 27316 21903 28842 8424 44632
1113208,31964 22556
484005,24852 46616 21137 47209 11520 49235 16797
140812,7781 13176 44632 10655 27966 29118 432 22113 5876 25138 47209 5514 47719 37646 27086 21137 4562
1362258,24852 35383
335722,22963 13176 15290 40386 5251 27105
1689095,5994 44204 3376 14553 46979 39928 13829 39877 47209 37646 21903 47059 21137 21938 24964 44359 22849 47601 11629 49235 5077 27464 43768 10749 41242 31927 27966 15950 47759 27690 13176 28054 8277 33055 22825 22582 260 27156 37029 35176 9092 46993 22935 35887
2184930,24852 23909
1645988,21616 23909 45200 9839 21137
3417762,2120 32655 22935 5876 26318 25691
1408046,8803 30720 47402 44580 7862
2238862,21292 42475 11759 46061
1189844,21137 41007 47626 27845 26165 37067 18531 4799 29798 24964
2006852,24852
964354,3308 32239 11576 4138 27966 13176
584877,27435 29672 9387 32650 8193 14320 22129 16797 16882 47626 45116 24267 43530 41787 43295 49683 6631
510431,24852 28842 47626 26209 43967 44042
1812351,45223 24852 26949 21903 43961 39275 12932 7963 42536 21137 11182 29600
1506632,5025 5206 21903 27086 1511 3896 21162 432 40706 26209 36695 22969 13025 27521 16349 28842 24852
3048513,47059 24852 48352 40706 5959 30489
2457524,30776
2953797,6046 13517 30233 32655 44449 21616 2962 47209 48679 4605 31717 26209
1654831,10673 33791 24852 20119 35199 40261 40332 31461
870854,16797 18027 2611 40310 14084 32647 39468 43394 47209 17949 13176 46279 34197 36216 38164
1115389,47626 22935 24964 36076 44632 32553 21137 39877 13176 11193 5785 17794 25138 17835 47977 46654 29447 32139 5450
1226715,24195 12686 27663 43961 35946 6669 35221 44632 13176 19448 2091 21903 28465 25762 20113 4451
2171910,27966 32553 21137 26604 22035 8424 24852 24024 21903
228105,18465
176341,None
1674722,24852 27966 47626 31459 16757 14992 32578
1593440,39844 7925 24852 16797 39993 16397 20774 28110 45 2535 48559 7762 2350 20919
3342362,47766 8087 42585 13176
1274142,10070 42536 24670 39180 27086 16521
1298590,40723 33232 39928 48637
2388319,21137 3631 38827 27104 47630 13176 40706 48679 2966 35628 47766 21616 44359 27966
2439416,12191 23085 33397 24852 9387 46817 12302 30353 33548 38241 47977 27275 1831 36316 1940 32553
1766600,35909 24852 27730
846309,11365 43352 42282
2171096,20828 47357 35078
2173787,25513 47209 22935 39928 45007 18027 30776 40310 5876 7503 29036 45747 17794 21903 24964 35633 23291 30391 19057 43295 24852
187768,46616 29077 7139 13176 48726 44765 22035 42710 2716 45210 24852 29370 31886 38164 37276 31126 22164 12033 28353 37646 27086 44632 21709 49235 27247 14127
1130342,21806 34745 11212 17789 24891 36651 20082 42069 21162 12456 13176 42307 47626 41665 1076 16466 37975 2452 22369 26209 25499 43788 40982 31657 46352 23375 17461 43080 12039 47156 11520 4586 44389 3628 9766 41331 4142 30985
707982,46676 8309 28465 43662 24799 24852 35221 30489 47630 8277 5450
410650,41290 13176 4091 46616
3326195,29616 24852
1769478,37158 5785 19046 36397 30489 5876 39928 39475 7781 47209 8859 44471 21162 13176 13801 43122
791929,24852 44632 21070
535078,24852
804512,40706
2301737,40706 24838 47209 21903 45066 35221 39877 11688 30391 13176 11193 35420
660186,1940 20463 25804
2872310,432 1511 47766 21903 27845 30391 21137 24852
3200443,21903 28985 25659 24852 27104 44632
901005,21137 39275 3952 1194 22935 25466 5876 27966 37646
2016746,23579 44632 42388 14218 432 36955 6813 23219 10409
2449679,41722 14493 5077 27360 32478 41593 16797 260 46435 23785 49683 26604 35311
2000909,32566
32109,10831 14992 5479 3599 28597 43014 25890 27344 24852 40001 47672 39475 45578 21903 9076 22035 35951 27845 44632 31371 45066 28849 162
1314512,22298 40310 22825 21137 21903 22935 42265 27845 41658
976876,10369 47209 38164 37158 22164 23375 4920 33000 3628 45066 311 7361 25370 2397 32281 13176 25872 19894 16589 21616 42508 47766 13646 22639 18159
2882639,21227 39121 4920 5120 21616 16570 42307 28289 24852 32360 16848 33120 44949 8021 15386 9839
1126869,49235 26209 13176 42701 22035 39180 29487
2731985,24852 8153 28985 23909 17872
642550,788 20345 24852 46842 7736 12377 3880
281733,34126 45763
2448006,33120 27966 25138 11777 5785 7090 13176 16797 27845 5212 47209 37687 42265 40706
2137941,5120 37215 33395 11759
602805,27521 47626 33394 39812 48705
1281307,14303 48205 47766 35042 28412 32433
1308395,47209 23383 46979
2553720,3957 13176 47766 5858 30391
254767,20082 43295 24852 19691 9322 46347
196806,22754 19173 27985
2948248,21903 45645 12576 39947 24973 24838 44632 35221 21137 23377 16908 4232 38327 42443 27086 14633 5031 27596 25472 40541 10351
1710171,48707 25762 12341 10234 19635 5322 29311 31717 11576 25506 21709 41750 43961 27344 34243 26201 28134 35503 1463 40416 1909 41315 42719 17397 29117 26410 40156 17871 27966 47209 39097 16759 23576 49416 13774 13176 11143 23282 24810 1063 10798 2732 46747 12935 34126 8277 36695 17224 9507 21903 7076 2086 26604 46990 48737 11941 6483 19677 37173 8197 2298
2625363,25199 22035 38739 45007 35951 13646 24082 27966 24489 34358 26128 42265 5769 49075 44422 47209 13176 39699 39275 27845 33731 34584
2649802,47209 43961 35921 33120 45007 10339 13176 36253 35951
1355476,17122 38768 16797 11759 25017 12341 8048 4920 8571 21573 43352
1978303,21137 24489 30450 46654 47209 6948 13176 21927
2914635,24852 40198 13176 21137 39180 8859 46906 21497 26165 18465 21938
2055514,47766 16797 22124 13176
908097,24852 47766 48163
3240303,30233 30489 4793 38777 27156 42265 30391 37687 18727 32442 24852 40706 36606 14467 4799 260 11576 13829 37646 47209 10070 21137 27966 38827 28745 22035 10761
788556,43352 5258 39275
1960310,24852 21783
2685559,25861 7781 25392 19660 8583 35914 26165
1170933,5450 29265 38827 20734 18434 30233 42445 29447 10831 43122 2913 40706 41874 13176
522987,12606
1409831,20695 41722 23909
1068975,33787 19820 13176
1220057,18792 919 10112 16797 11512 22025 38200 5782 28454 9595 18048 3298 24852 3044
3174888,18747 19766 10478 41435 12099 7585 36086 11259
1077059,30489 16185 47766 35004 11512 18599 2295 15950 33862 4799 1234 43621 48335 24518 21019 36086 12099 12258 9366 21955 11543 45 1962 13083 20339 2979 22720 20392 21938 39877 45007 24852 21903
3139059,21497 12508 743 13176 43314 16696 38511 21137 26343
2948563,33614 39030 27985 4832 9075
850273,21903 8478 36493 39121 41220 5612 29987 45007 43961 38383 47766 34969 21616 24964 47626 15290
570590,24852 41787 13176
3013478,18606 47626 46979 36127 8859
3275611,40658 19348
2265197,28985 45948
227409,21903 28985 30489 33572 40174 8424 48953
1901690,41774
3242159,21288 16797 43352 42495 26604 43961 9387 24852 28204 9076 5612
831812,None
3275906,44604 5750 40997 12149 42948 44980 47766 14227 48588 8153 7350 24852 24701 47144 23341 20876
928165,45066 4957 40571 17949 34969 21903 24852 33754 16797 47766
1608097,41836 45007 13176 33198 23440 46979 34714
3282458,None
2259691,31422 21288
1210936,7286 4605 24852 44570 40332 32303 36278 15100 3990 32710 46979
1694769,21616 36149 44359
962871,4066 47209 21137 24184 27104 25936 19204 5876 27845 13176 31720 11422 22935 14901 16083 3855
1689201,47119 49235 16428
3420888,47766 35951 44632 10880 7963 22935 2361
95805,8518 45007 13646 5876 19678 6046 22935
2747759,43352 24852 7533 45265 32423 15866 43415
1180741,35221 27845 19019 21137 47766 34126 24852 10132 7781 5959 30489
2853154,43858 13176 25890 16797 17948 45007 25230 432
1167958,21137 21938 38383 20114 8138 46069 13176 45007 35140 5134 21903 12075 23400 47766
636376,13252 7781 9681 33754 35914 14999 39046 287 17295 42269 24186 25976 46979 13176 48004 15872 47626 40516 41771 43772
1497516,34986 16797 28199 21357 13870
3393156,21137 13176 43352 20995
2443777,29406 7762 424 21614 33731 39180 21709 27104 24852 26209 17794 25890 38383 35199 23375 28715 39322 39121 6151 11440 33000 18838 30795
3098063,14965 8186 3765 14394 1202 28931 11463 43209 7116
2500101,35121 47209 24838 39276
760233,5487 13176 21137
2542207,21137 47209
2659174,3896 12745 17553 10768 31288 10912 21137 44632 35946 31612 49416 4451 18523 49235 49628 2855 1511 46886 7131 11513 47783 45311
1045861,13176 44632
1356025,16797 47626 39094 28930 3466 11512 29574 47766 24852 27845 12745 46969 13249 21903
3093178,13176 24186 18523 48004 7781 43504 40723 10673 25745 32338 21333 2120 21137
1364827,13909 34358 47626 11361
3077307,None
3252837,47626 42768 44142 47766 49235 40604 21560 26209 44910 21616 31553 17794
1598259,33134 24852 47141
1243888,20084 32981 32931 24852
3364994,24852 329 11520 47766 35851 37646 2716
2596728,24838 26683 4472 31915 1364 41455 36964 42495 22825 4210 19348 24852 33816
1650845,5013 40571 28593 12743 32331 11679 48784 38471
864877,36085 38944 22557 24891 17600 23216 9547 46567 46651 31573
533741,5161 5450 36929 21903 22935 27521 5876 19057 43504 45123 13176 18670 24082 10006 43122 38533
2454813,13176 19678 32655 21137
2555414,14947 6046 46667 32655 29447 21174
3033895,44632 35221
2742977,24852
3081918,33768 23734 34429 21938 45007 8518 43352 21903 48679 47766 30391 27845 27705 8424 39275 36695 43889 39619 8193 47209 21137 47626 27966 17461 13176 14643
1101937,7158 40866
1561370,26209 47766 24852 27521 13176 13646
2773542,48857 21137 6348 38558 43295 7948 34209 24852 12456 30391 27966 29447 1446 781 22035 14486 13874
2431444,5077 24852 47766 47144 16797 27966 13176
485574,5449 17224 7156 44636 42265 47862 49235 24852 17949 7260 36076 1577 14778 34448 21150 16262 15902 42828 39747 7026 47792
24477,44008 10874 42900 432
2742684,35221 28985 33716 47626 28156 44632 37687 47766 19348 9020 34262 21616
1925915,19076 8424 16419 14488 3126 24852 196 23909
3269286,24184 10305 29095 14493 21137 40706 36695 41665 34739 27104 1069 10749 17794 7156 432 24852 45066 47626 9551 29307 21405
1949646,41950 34126 45066 21174 31717 35504 13176 36070
2681575,17807
1012641,5479 19894 13176
1770388,20940 23662
1439365,34969 19348 23909 17334 29848 28554 34504 24231 18208 35072
1950281,None
219589,11520 24830 47626 21938 49517
2328210,43523 44292
3301736,4605 26209 21903 47766 47144 28842 42244 36397
1036713,35951 47209 27845 47766 24852 28934 44142
890312,32689 27845 21137 13176
943922,26369 3376 10017 24852 47144 5479 7452 38003 44910 33055 21903 26165 47766 16757 5876
3296566,36865 21616 43295 13263 28465 24799 24024 29987
1662050,45066 47766 25890
313730,19677 49131 30776 27344 23375 29307 24852 45744 27086 34213 22537 8277 19348
1588951,20114 34196 24184 20580 8181 26209 47209 1826 41950 27966 21938 47626 21019 46979
65824,19972 21195
314945,43631 4210 17900 19348 21131 6846 3651 21650 41290 37215 23902 31683 196 3389 26209 16696 10957 47626 34289 33671 35948
2724959,37646 25931 24852 6532 16198 40174
2509044,47209 17871 33572 27548 4920 22856 13176 21903
788499,47209
584379,30958 933
1690180,30391 19057 21903 47209 21137 4472
1865041,29881 13944 34024 39921 15650 43263 13176 44689 42808 36758
2966451,37464 28242 47626 38557 24852 38849 44795 38689 9550 21387 20842
713464,10132 27845
784733,18234 8518 29447 5077 26283 46667 21938 5450
192201,45575 13629 46969 5876 14678 5514 21903 21137 47766 25552 7120 16759 36792 49264 39275 27966 6218 19057 2846
2320694,21137 31886 37538 45007 14678 6104 48094 49175 40706 37276 12341 48628 32655 3952 17568 22825 27845 27663 20549 17794 6347 13176 25659 26209 48364 7054
2446481,None
2194845,28413 43867 26553 24441 13176 6184 16797 32538 18292 8048 9007 24532 8843 12341 40939 21903 46149
1080533,42828 5479 42460
1717299,8193 31553 21982 8518 432 28204 41220 26209 24852
2719919,32691 16965 23909 35108 13351 1559 31618 33313 14888 42800 38889 5782 20761 49235 27966 43967
2701657,14084
2586143,8571
17751,47951
1776747,43662 27344 18465 24852 27966 18362 33037 9839 43789 24561 19057 16254 11556 26165 34458 18382 33198 16528 8197
2837535,13166 5077 19034 31618 21903 13176 4472 24489 17847
2586861,27845 40571 24852 30489
272278,25811 11520 21903 21938 13629 19057
1267435,42450 20084 24363 45368 18176 37646 9839 34530 5646 6750 36724 34217 37935 26364 21903 13176 4971 13870 8174 23288 35951 29370 20632 36258 49368
2505912,31805 24535 32710 24852 27124
2573319,35221 47209 7485 45673 5640 22935 35939 26629 33788 29118 2452 24852
1824026,8277 5479 34012 49086 39190 40789 26165 16174 18610
1163459,7963 31678 47601
1442028,45066 24852 47766 2855 46654
2515887,37354
1724200,16732 45128 31651
16983,20345 28156 9666 47209 43772 38028 25837 24852 47766 29310 5959 6655 22622
2749082,18523 5428 2426 27344 39361 4989 32864 3957 36724 13225 5876
2110977,21137
613158,23434 6104 24852 35503 22035 27845
946163,40706 47766 22316
1328780,43772 18765 32864 21269 21174 28842 24852 4605 38028 19272 22993 45788 43295 5684 20015 26369 36606 41860 5450 38383 32689 39408 42265 48679 47890
2083844,21841
3054592,13176 15937 47626 5450 22935 47209 17794 26209 31553
1772969,38664
3298343,8424 34358 21586 41588 46654 23909 17663 45930
1245550,49235 1194
1244879,28842 24852 14947
45013,42612 1402 27086 10851 13913
2055846,17948 45570 24852
246975,13176 40174 37486 31215 38383 21137 47766 21903 9595 19354
1561912,47626 16797 9076 24184 24852 47766 5025 5818 7969
902340,30639 47209
1239076,38849 25931 5612 24535 7010 41290 15613 33572 47498
3001123,21137 39146 16768 15290 26620 24852 39877 47209 39055 30233 25133 44910 1234 45741
376067,16096 46979 7963 19171 47329 13176 48370 27966 1194
2530861,37067 13249 36869 20327
969391,None
664482,23282 40174 47868 14947
3237123,13176 19057 27966 36929 24852
852420,23288 27299
1674417,31672 41950 5450 12720 35271 39993 20842 19653 22024
2456739,47626 33731 21903 46372 14218 24852 8859 47766 16797 2611 14651 49215 24964 19348 26209 28842
3382331,24852 4472 24024 27845 12341 45007
1655153,12384 21903 35989 36717 47766 35221 47626 45007
3333552,46616 32915 40236
675528,6508 48747 13269 46820 2326 21137
88331,5876 4724 46979 5450 47626
1634310,27288 12914 37067 23296 35004 28427 44527 10453 1447 14493
519128,47766 39475 13176 10895 33198 47209 3957 45681
203425,16797 43352 9076
1011160,11520 35951 37664 40310 14992 47626 13176 343 20413 35887 34264 1406 13646 48094
3154970,13176 27845 5161 32130
802999,47766 24852
1944481,4687 4347 3856 5077 24852
671747,24852 3896 2298 8376 21903 30391 39275 21137 10749
1261307,7924 47866 6489 44632 27344 24852 12341 41177
1652821,28985 21137
1933147,7901 13417 16768
42002,29487 32645 8228 15923 46479 8475 27710
2329649,28204 49098 30233 47766 24852
1028308,28204 13176 10673
2525046,21903 24852 38689 44669 28842 14704 43122 21137
1879204,None
1234763,None
2320323,45007 44514 4562 34429 48364 13176 44404 47626 39578 38313 28934 21903 44661 1468 1199 12039 24219 21137 27845 26790 38988 12204 23236 10112 27104 49683 47766 29662 8758
3277492,44765 5550 2091 42265 19348 11520 30385 44632 26131 10749 4605 47912 2748 24852 47209 45504 40571 8277
2780849,4920 24852 40311
1481568,13176 38768
2862256,None
1287519,None
2589868,47766 14947 42585 36724 5303 19660 5479 28613 48595 9290 39099 29487 49683 5025 20114 28842 24852 21616 21903 29027
937651,40706 46650 41319 24852 29307 21903 47626 18531 34126 13646 4097 2855 28597 22825 24964 47766 5785 1025 33731 890 17915 17794
1917790,13176 16145 42445 22935 11520 24964 14127 34050 30480 45007 42768 27521 35121 44359 49235 12440
1830815,22825 30391 44359 43961 14853 1463 44765 6348 13176 34197 16490 21137 34943 37646 7963 27966 12572 22935 26283
2799230,20955 2708 32734 9901 3957 13466 32700 43875 44950 20682 45007 46097 4605 14218 33198 28842 16797 46595 30591 4137 49235 46041 41120 14852 33565 4753 24279 38729 44167 6532 34362 27845 39877 19057 14211 23102 27985 35921 45066 5268 11440 16900 4919 24838 41220 14778 36307 36956 1090 31469 17316 40174 39032 41290 3529 24852 43117 37003 29628 38544 32689 30696 21737 30192 40708 27104 48205 36763 19627 49044 41714 41517 30169 9551 34134 14897 36838
1802251,23630 27344 46906
197049,5025 43875 38400 47144
3291875,34243 21903
520665,4658 21903 24184 1158 42110 47626 24852 46616 47144 32781 35547 8518 47766 5876 8174 31553 26283 42625 42828
1370452,27086 38889 44292 13798 37067
1414039,20738 21158 44799
35214,24852 10 27521 21616 38277
748561,19368 2412 17566 13176 33198 20217 19348 39280 46235 43177 5748
1274140,4799 27845 34050 4605 42828 7781 17652 40571 10603 34358 39275 16797 49215 26209 8467 27966 24852 29594 21137 18926 5479 40174 6348 34069 9598 5491 14084 18176 33845 24706 17600 11140
2641665,47209 5450 36550 5876 21903 47943 24852 45007
2988980,None
768974,28985 47630 17461 21903 16083 6532 36070 17949 43122 47766 26209 17948 43295 13176 28745 27966 21137 2748 43504 43352
808762,16615
3120411,12576 47766 8424 1940
2839307,13176 39001 39275 27845
22923,43961 30391 21137 39190 21938 39216 27104 19057 23233 32537 23029 45007 7156 13176 13031 15070 14652
583891,14881 3248 24852 21903
3372056,40310 13176 21137 17794
373105,24852 43631 5782 10070 26209 29487 13176 27959 39877 24830
1975571,25936 27344 15290 40571 42828 27845 20345 34358 42265 10369 38274 21137 25890 40706 21616 6532 16797 35951 24852 11440 18531 9825 42450 33000 26209
2365556,None
781373,19057 13176 4793 31927 44560 27086 39328 23079 11950 44089 8021 18471 34243 5262 33198 18811 35108
2593907,19046 42265 24852 35383 4210 43122 21903 21137
2883227,43961 32465 34358 25340 24852 40516 15503 25272 47766 5212 13646 28204 2846
2293766,40706 46676 5876 46667 47626 47209 42265 24221 21137 8174 10749 48679 37067 41950 37646 21616 5514 21903 43713 16083 18523 22825 36117 39928 8518 30391 21938
2433752,2078 21137 21903 24852
3361707,39040 21616 14084 13176 33120 5450 21137 2344 38164 5353 27966
1201601,41950 47209 13176 7781 21009 4485 49235 31717 27966 42244 14335
1590579,27966 117 14996 24852
1319413,24184 41679
188865,13176 33756 10070 4289 16419 46572
315179,19820 329 24852
1217476,27845 24852 21903 29675 13560
1084520,18721 38341 40852 47766 15613 5077 35181 4920 35004 29925 4137 17600 2602 39299 44142 17794 26209 4658 28204 40706 38572 27323 20908 47141 30696 23962 45724 7909 20015
79185,24852 26384 35004 5785 21903
128037,23909 30197 24053 4210 24852 17341 25562 27086
2830059,None
742472,21903
1718602,23909 7001
519107,46363 12341 21137 16797 19691 33768 22507 31651
3056260,24841 36142 5491 18393 493 26505 9598 12115 41338 31504 49044 49191 40174 4812 28204 14901 17316 24852 5918 35221 16797 14874
786122,14084 16797 47766 45788 21903 21376 28373 25705 21137
1487436,22802 6184 17122 38928 13176
2272444,13176 38164 27845 36216 29447 15025 17794
452768,26604 26369 48953 40706 15386 45007 42736 7953 6104 5876 26209 47766 21137 39275 13176 27845 22935 28985 24964 27966 35221 4920 16797
3292987,24852 5479 45578 28656
3373877,47626 49227 14233
2554041,None
1036091,34956 39649 35221 3919 46842 5707 49441 21652 46023 207 16696 39041 47087 33787 38799 48988 17163 41056 21890 19008 46676 27086 33950 9446 29848 47114 14390 9175 28110 6047 25346
3237318,21137 41261 27554 7963 13113 20943 34197 48857 5194 7175 9881 7480 4274 28058 20740 14409 31678 2732 4642 16797 13176
28467,18465 11452 21137 35510 24964 47209 43961 22935 27086 27845 22035 30391 40396 47626 13176 10017 32717 40310 10749 45007
912413,41327 27360 32403 41808 7781 23716 28994 39276 432 47717 20119 41473 18019 48527 48823 33087 24629 8153
740363,27845 13176 30489 28670 6656 47209 27966
228836,5450 4605 24852 47626 34969 41787 28204 12341 7054
2352035,28204 27086 40706 20379 21903 5876 4920 29544 12384 8174 47766 21616 26604 43961 24852 26683 6508 46692 27344 26209 14992 7485
2956812,26384 19789 47209 5550 11520 45504 24852
1823761,33198 44780 5212
3227133,4605 19057 5161 5120 581 7877 43961 14947 28745 9020
425304,6046 24142 581 48333 39975 11827
2873027,21903 37687
774312,24852 45066 4605 21137 13176 17313 7177 15872 26842 14992 23291 46676 47626 39275 16797 40706 9405 15649
1734437,26949 28985 47766 27966 26061 13858 47209 47626 9849 37276 30391
2224850,24964 47672 21137 47209 24852 26209 30391 13176 1463 7781
260448,16218 35467 43713 16168 47766 31075 7509 43295 13176 48679
2496659,31981 40621 27966 12782 10032 19389 12218 20995 40376 45588 13375 26456 23037 17122 24852
2777923,47209 22935 13176 3583 21137 37646 24852 41950 21903 39180
14729,45116 19348 14320 4210 16797 11210 14493 24852 16020
1068536,39947
2105835,24184 8021 44359 34126 13176 19820 10246 41950 4086 27316 13062 38013 39275 6873
2813371,40310 1757 12980 47766 48205 31553 23341 1503 30849 46877 28985 40825 49247 16637 3957 37229 49683 7969 32747
1902828,27086 13176 24561 8424 5450 47766 38689 22035 16070 41165 3599 21137 30489 11520 34262
403704,31717 22416 19057 6187 18818 13176 38383 5876 45946 41290 999 41271 24852 40910 7948 16154 43154
1245284,18963 39252
1071077,28985 19816 2086 34448 21137 27845 24852 37646 27690 4097 15613 36011 8021 39411 2314 36438 30480 12341 32717
502706,24852 45066 16797 12456 21903
226631,None
57058,15984 35900 8859 17966
1117835,5077 27845 47766 16797 24852 44008 44275
2862096,329
451507,24838 20119 21903 47866 44632 25718 19894 18689
1078458,42615 45066 45682
955979,None
2125814,27344 11520 23054 12341 30639
2748226,42265 13176 47766 6948 24852 39928 44625 36397 33124 17807 13629 31717 46584 21137 26209
112860,21137 22963 37646 27966 32864 1463 45633 26209 27344 13380 13176 47209 44170 21614 34473 27086
1231891,32403 14650 28682 5077 6448 39190
1248855,2716 45123 9839 2452 41149 5699 48720 35503 162 48679 4792 14678 6948 30639 37067 22908
158009,24852
1167045,30639 30635
2810288,5077 19505 38038 15100 23288 6022 39276 35163 18534 37067 29487 6781 1396 6046 10388 26497 12779 28916 15293 12555 26412 35622 16607 3318
466064,22035 4920 21376 16185 23047 2825 40396 36493 24333 26683 10315 49683 20757 24852
488787,None
2206565,47209 43295 13176 49026 32864 30776 44359
1686039,24852 14897 18362 26384 37646 26800 46979 35503 13176 9339 40545 27044 23304
